sim_index,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,dominant_theta,gene
0,61.73630496,15.57544432,33.61292559,50.22690247,58.34958514,49.30977091,51.1677097,43.24076598,56.95067151,51.25302425,0.642037646,0.069242676,0.07428723,0.067347182,0.074962659,0.072122606,theta_0,NCU04197
1,43.06595597,53.16134861,52.51280524,50.10434996,51.63193101,49.648476,48.05740684,50.04398297,56.68469941,49.56733857,0.020629421,0.198452135,0.095721112,0.275711188,0.21471866,0.194767484,theta_3,NCU05476
2,0.02393851,48.94688963,34.17007989,48.48986773,0.2084092,50.51742808,45.25796982,57.75755289,50.70331838,49.84217962,0.016816479,0.210087806,0.157370398,0.191764876,0.209460416,0.214500025,theta_5,NCU01815
3,38.83548326,61.34525054,45.66045285,49.96521566,56.08258505,49.74768004,48.42827969,49.35423441,56.03617679,48.91908461,0.176880057,0.105535397,0.511173707,0.070707689,0.070987739,0.064715411,theta_2,NCU07820
4,63.18831924,31.64742381,36.93795785,49.75280044,56.82103823,49.83122135,42.45892738,47.75082385,58.96002824,49.94980267,0.150849929,0.166524813,0.150110931,0.179505468,0.176548839,0.17646002,theta_3,NCU06089
5,58.4605317,42.69248986,45.16528987,49.97357949,56.68712882,48.72599944,46.9102773,47.58412926,58.09611915,51.21212224,0.068928779,0.208612988,0.146609503,0.19991019,0.184801086,0.191137454,theta_1,NCU08862
6,41.76888105,60.45575293,30.585478,50.67433112,51.42293332,49.87285144,45.79709359,52.81579511,63.79110268,50.73559225,0.247013961,0.141026942,0.115902048,0.16656188,0.17316473,0.156330438,theta_0,NCU05429
7,40.71142702,56.11848983,30.57807313,49.53181113,50.1673251,50.68204798,47.68829064,46.66321288,57.05780583,50.27362333,0.366347607,0.119706278,0.064427811,0.140962587,0.153014027,0.15554169,theta_0,NCU02351
8,39.8752097,0.497903143,7.186813983,36.81494832,16.01223392,51.26560194,2.832306696,35.11548303,42.34382807,55.44543032,0.829732437,0.032216891,0.035332025,0.030982425,0.036439954,0.035296268,theta_0,NCU05006
9,52.59193492,49.36590866,42.28947308,48.91689718,59.35820879,50.75823792,47.2682272,45.65923727,56.19912821,50.14091651,0.167858995,0.130710249,0.060822987,0.203304961,0.209671485,0.227631323,theta_5,NCU06198
10,43.63506119,61.51996741,51.2952084,51.18159813,57.11660043,49.1272895,49.56776522,50.91930818,58.35316902,49.38929437,0.246879011,0.163387302,0.142423563,0.153841964,0.149805854,0.143662307,theta_0,NCU06836
11,61.94566009,40.04424106,54.42884352,50.63459122,53.04916342,48.81151507,48.88456871,50.50982905,59.28952583,50.10777386,0.259481627,0.140689851,0.226356683,0.128485108,0.126026998,0.118959734,theta_0,NCU08430
12,56.62931682,7.885725266,24.23082605,50.46434671,59.58149961,49.67460079,42.72241375,41.67967404,64.55258031,49.747811,0.739385293,0.050514561,0.056965492,0.049162826,0.051078426,0.052893403,theta_0,NCU05210
13,54.50089941,52.17690525,47.44079982,50.60272786,61.29371958,50.4468418,45.44369572,47.52741414,57.66290038,49.97930122,0.202847132,0.131462939,0.059606688,0.197041899,0.198693806,0.210347537,theta_5,NCU08002
14,36.80548163,64.82966868,54.03123172,50.72369207,57.29318467,49.92728826,49.78778963,49.07205248,59.39257239,50.57116026,0.021394727,0.058705949,0.800880147,0.041574585,0.040328322,0.03711627,theta_2,NCU07668
15,98.55202775,0.855583953,7.061425171,46.71782942,25.69111615,47.98951662,46.17808296,20.54912482,31.97103618,49.72239503,0.291675704,0.121987828,0.167167016,0.137579173,0.147710677,0.133879601,theta_0,NCU02087
16,57.56575241,35.47496658,42.21680263,50.06739187,52.17814181,50.67091522,41.22475669,43.24683556,65.98837743,49.54981811,0.097784118,0.179626474,0.138867911,0.187279669,0.205273636,0.191168192,theta_4,NCU03347
17,50.83061326,9.444840273,46.07435483,51.14533548,60.90193256,50.43800243,47.27780263,47.54929733,63.14366603,49.64251886,0.85963171,0.024116338,0.035624437,0.026887515,0.028650834,0.025089167,theta_0,NCU03803
