Function,WCC,NCU07392,NCU01640,NCU06108,NCU07155,NCU08295,NCU04504,NCU03363,NCU04799,NCU00919,NCU09349
Ribosome,0.0000,0.3916,0.3631,0.6347,0.7119,0.6621,0.3856,0.0000,0.4274,0.4089,0.0000
Ribosome biogenesis in eukaryotes,0.4147,0.4892,0.0000,0.6052,0.5398,0.4416,0.4739,0.4350,0.4587,0.0000,0.4218
Meiosis - yeast,0.4331,0.7374,0.0000,0.5065,0.6292,0.0000,0.4965,0.0000,0.4538,0.0000,0.4476
Proteasome,0.0000,0.5142,0.0000,0.4386,0.4420,0.4464,0.3965,0.0000,0.0000,0.3809,0.0000
Carbon metabolism,0.3941,0.5710,0.4055,0.6446,0.5975,0.6147,0.5376,0.4830,0.0000,0.4097,0.4487
"Valine, leucine and isoleucine biosynthesis",0.0000,0.0000,0.3959,0.4359,0.0000,0.5169,0.0000,0.4844,0.0000,0.5139,0.0000
Base excision repair,0.0000,0.0000,0.0000,0.5759,0.5124,0.4102,0.0000,0.0000,0.0000,0.0000,0.0000
Cell cycle - yeast,0.3866,0.0000,0.0000,0.5199,0.7175,0.0000,0.4965,0.0000,0.4538,0.0000,0.0000
Glycerophospholipid metabolism,0.5171,0.4327,0.4691,0.6602,0.6841,0.4267,0.0000,0.0000,0.4872,0.0000,0.0000
Synthesis and degradation of ketone bodies,0.0000,0.0000,0.3891,0.0000,0.0000,0.4862,0.0000,0.0000,0.5063,0.0000,0.0000
Biosynthesis of amino acids,0.5171,0.5925,0.4516,0.6051,0.6067,0.6031,0.4691,0.4750,0.4865,0.5019,0.4814
Purine metabolism,0.0000,0.5735,0.3947,0.7198,0.7651,0.4651,0.4691,0.4553,0.0000,0.0000,0.0000
Oxidative phosphorylation,0.4985,0.4618,0.4745,0.5091,0.6349,0.0000,0.0000,0.4744,0.4581,0.5072,0.4534
Protein export,0.0000,0.0000,0.0000,0.4844,0.6490,0.7478,0.0000,0.0000,0.0000,0.0000,0.0000
Homologous recombination,0.4569,0.5562,0.3790,0.5585,0.4867,0.4102,0.0000,0.0000,0.0000,0.0000,0.0000
RNA transport,0.7103,0.4287,0.4431,0.6693,0.6432,0.5567,0.4739,0.0000,0.5063,0.0000,0.4063
2-Oxocarboxylic acid metabolism,0.4286,0.0000,0.4316,0.5807,0.6700,0.5169,0.0000,0.4931,0.0000,0.5019,0.5140
Endocytosis,0.0000,0.4080,0.4134,0.5011,0.6139,0.5165,0.0000,0.4412,0.0000,0.0000,0.5015
Spliceosome,0.4379,0.4556,0.3699,0.5146,0.5454,0.4993,0.0000,0.4304,0.0000,0.5188,0.4565
RNA polymerase,0.0000,0.5432,0.0000,0.6625,0.0000,0.6201,0.0000,0.0000,0.0000,0.0000,0.4882
Mismatch repair,0.0000,0.5278,0.0000,0.5585,0.4232,0.4211,0.0000,0.0000,0.0000,0.0000,0.0000
