gene_name,family_id,description,is_clock_network_gene,family_size
NCU00451,5113,S-adenosyl-L-methionine-dependent methyltransferase,False,8
NCU04904,5113,S-adenosyl-L-methionine-dependent methyltransferase,False,8
NCU04917,5113,S-adenosyl-L-methionine-dependent methyltransferase,True,8
NCU04910,5113,S-adenosyl-L-methionine-dependent methyltransferase,False,8
NCU04909,5113,S-adenosyl-L-methionine-dependent methyltransferase,False,8
NCU04907,5113,S-adenosyl-L-methionine-dependent methyltransferase,False,8
NCU04906,5113,S-adenosyl-L-methionine-dependent methyltransferase,False,8
NCU04905,5113,S-adenosyl-L-methionine-dependent methyltransferase,False,8
NCU06478,5206,S-adenosyl-L-methionine-dependent methyltransferase,False,8
NCU00304,5206,S-adenosyl-L-methionine-dependent methyltransferase,False,8
NCU08988,5206,S-adenosyl-L-methionine-dependent methyltransferase,True,8
NCU05842,5206,S-adenosyl-L-methionine-dependent methyltransferase,True,8
NCU05841,5206,UMTA,True,8
NCU05831,5206,S-adenosyl-L-methionine-dependent methyltransferase,False,8
NCU07815,5206,S-adenosyl-L-methionine-dependent methyltransferase,False,8
NCU05832,5206,S-adenosyl-L-methionine-dependent methyltransferase,True,8
NCU05358,4644,DUF1996 domain-containing protein,False,6
NCU07763,4644,DUF1996 domain-containing protein,False,6
NCU02341,4644,DUF1996 domain-containing protein,False,6
NCU07099,4644,DUF1996 domain-containing protein,False,6
NCU10448,4644,DUF1996 domain-containing protein,False,6
NCU06325,4644,DUF1996 domain-containing protein,False,6
rho-2,740,RHO family GTPase Rho2,False,5
rac-1,740,Small GTPase RAC,False,5
rho-1,740,Rho-type GTPase,False,5
cdc42,740,Rho-type GTPase,False,5
rho-4,740,Rho1,False,5
csr-1,83,"Peptidyl-prolyl cis-trans isomerase, mitochondrial",False,4
cpr2,83,Peptidyl-prolyl cis-trans isomerase B,False,4
cyp41,83,41 kDa peptidyl-prolyl cis-trans isomerase,False,4
cyp-3,83,Peptidyl-prolyl cis-trans isomerase H,False,4
grp78,118,Endoplasmic reticulum chaperone BiP,False,4
hsps-1,118,Heat shock 70 kDa protein,False,4
hsp70-5,118,"Iron-sulfur cluster biogenesis chaperone, mitochondrial",False,4
hsp70-2,118,non-chaperonin molecular chaperone ATPase,False,4
pph-1,372,Serine/threonine-protein phosphatase PP2A catalytic subunit,False,4
tng,372,Serine/threonine-protein phosphatase,False,4
pp4,372,Serine/threonine-protein phosphatase,False,4
pp2A,372,Serine/threonine-protein phosphatase,False,4
gh11-2,421,"Endo-1,4-beta-xylanase",False,4
NCU05159,421,Acetylxylan esterase,True,4
gh11-1,421,"Endo-1,4-beta-xylanase",False,4
NCU09664,421,Acetylxylan esterase,False,4
NCU07106,6586,Cerato-platanin,False,4
NCU07105,6586,Cerato-platanin,False,4
NCU07104,6586,Cerato-platanin,False,4
NCU07102,6586,Cerato-platanin,False,4
NCU05032,81,60S ribosomal protein L40,False,3
ubi::crp-6,81,Ubiquitin-ribosomal protein eS31 fusion protein,False,3
ubi,81,Polyubiquitin,False,3
bI1,149,Probable intron-encoded endonuclease bI1,False,3
cob,149,Cytochrome b,False,3
bI3,149,Cytochrome b mRNA maturase bI3,False,3
ndh-5,311,NADH-ubiquinone oxidoreductase chain 5,False,3
NCU16010,311,Probable intron-encoded endonuclease 3,False,3
NCU16011,311,Probable intron-encoded endonuclease 4,False,3
NCU08989,633,ADP-ribosylation factor 1,False,3
NCU07173,633,ADP-ribosylation factor 6,False,3
NCU08340,633,ADP-ribosylation factor,True,3
gh76-2,1483,"Mannan endo-1,6-alpha-mannosidase",False,3
gh76-6,1483,"Mannan endo-1,6-alpha-mannosidase",False,3
gh76-3,1483,"Mannan endo-1,6-alpha-mannosidase",False,3
NCU04537,4894,Monosaccharide transporter,False,3
hgt-1,4894,MFS monosaccharide transporter,False,3
NCU06358,4894,High affinity glucose transporter RGT2,False,3
gh61-4,29,Lytic polysaccharide monooxygenase NCU01050,False,2
gh61-1,29,AA9 family lytic polysaccharide monooxygenase A,False,2
nmp-1,36,Nuclear distribution protein nudF-2,False,2
nmp-2,36,Nuclear distribution protein nudF-1,False,2
pyr-3,41,Multifunctional protein pyr-3,False,2
arg-3,41,"Carbamoyl phosphate synthase arginine-specific large chain, mitochondrial",False,2
hH4-1,74,Histone H4,False,2
hH4v,74,Histone H4,False,2
hh3,78,Histone H3,False,2
hH3v,78,Histone H3-like centromeric protein hH3v,False,2
tba-1,106,Tubulin alpha-A chain,False,2
tba-2,106,Tubulin alpha-B chain,False,2
aod-1,124,"Alternative oxidase, mitochondrial",False,2
aod-3,124,Alternative oxidase,False,2
gna-2,129,Guanine nucleotide-binding protein alpha-2 subunit,False,2
gna-1,129,Guanine nucleotide-binding protein alpha-1 subunit,False,2
gh61-5,155,AA9 family lytic polysaccharide monooxygenase E,False,2
gh61-10,155,AA9 family lytic polysaccharide monooxygenase J,False,2
cbs-2,180,"Putative serine hydroxymethyltransferase, mitochondrial",False,2
for,180,"Serine hydroxymethyltransferase, cytosolic",False,2
fkr-5,302,FK506-binding protein 2,False,2
fkr-2,302,FK506-binding protein 1A,False,2
grn,318,Guanyl-specific ribonuclease N1,False,2
NCU01045,318,Ribonuclease T1,True,2
vma-3,355,V-type proton ATPase subunit c,False,2
vma-11,355,V-type proton ATPase subunit c',False,2
ypt-1,356,GTP-binding protein ypt1,False,2
NCU06404,356,GTP-binding protein,True,2
cit-1,357,"Citrate synthase, mitochondrial",False,2
tca-2,357,Citrate synthase,False,2
atp-6,362,ATP synthase subunit a,False,2
NCU16026,362,ATP synthase subunit a,False,2
nca-3,414,Calcium-transporting ATPase,False,2
nca-2,414,Calcium-transporting ATPase,False,2
gel-1,459,"1,3-beta-glucanosyltransferase",False,2
gel-4,459,"1,3-beta-glucanosyltransferase",False,2
ndh-2,472,NADH-ubiquinone oxidoreductase chain 2,False,2
NCU16001,472,Putative uncharacterized mitochondrial protein NCU16001,False,2
emp-7,488,Enolase,False,2
NCU01870,488,Enolase,False,2
